Seccion,Clave,Espanol (ES),English (EN),Deutsch (DE),Italiano (IT),Francais (FR),Svenska (SV),Estado (OK/Cambiar),Propuesta / Notas
La Casa,about.p1,"¡Refugio perfecto y adaptabilidad en la idílica Formentera! Nuestro hogar es un refugio inmejorable, diseñado para acoger a un viajero solitario, a una pareja en luna de miel, a familias enteras o a grupos de amigos buscando el retiro perfecto.","The perfect, adaptable retreat on idyllic Formentera! Our home is an unbeatable hideaway, designed to welcome the solo traveller, a couple on their honeymoon, whole families or groups of friends in search of the perfect getaway.","Das perfekte, wandelbare Refugium auf dem idyllischen Formentera! Unser Zuhause ist ein unschlagbarer Rückzugsort, der Alleinreisende, Paare auf Hochzeitsreise, ganze Familien oder Freundesgruppen auf der Suche nach dem perfekten Urlaub willkommen heißt.","Il rifugio perfetto e versatile nell'idilliaca Formentera! La nostra casa è un rifugio impareggiabile, pensato per accogliere il viaggiatore solitario, una coppia in luna di miele, intere famiglie o gruppi di amici in cerca del ritiro perfetto.","Le refuge parfait et modulable sur l'idyllique Formentera ! Notre maison est un havre inégalable, conçu pour accueillir le voyageur solitaire, un couple en lune de miel, des familles entières ou des groupes d'amis en quête de la retraite parfaite.","Den perfekta, anpassningsbara tillflykten på idylliska Formentera! Vårt hem är en oslagbar oas, skapad för att välkomna den ensamma resenären, ett par på smekmånad, hela familjer eller vängäng som söker den perfekta reträtten.",,
La Casa,about.p2,"Sus dos cuerpos independientes nos permiten adaptarnos a tus necesidades, desde 1 a 8 personas. No dudes en consultarnos por los precios, pues, por supuesto, varían según el número de ocupantes.","Its two independent wings let us adapt to your needs, from 1 to 8 people. Don't hesitate to ask us about prices — they vary, of course, depending on the number of guests.","Seine zwei unabhängigen Gebäudeteile ermöglichen es uns, uns ganz Ihren Bedürfnissen anzupassen – von 1 bis 8 Personen. Fragen Sie uns gern nach den Preisen; sie richten sich natürlich nach der Anzahl der Gäste.","I suoi due corpi indipendenti ci permettono di adattarci alle tue esigenze, da 1 a 8 persone. Non esitare a chiederci i prezzi: variano, naturalmente, in base al numero di ospiti.","Ses deux corps indépendants nous permettent de nous adapter à vos besoins, de 1 à 8 personnes. N'hésitez pas à nous consulter pour les tarifs : ils varient, bien sûr, selon le nombre d'occupants.","Dess två fristående byggnadsdelar gör att vi kan anpassa oss efter dina behov, från 1 till 8 personer. Tveka inte att fråga oss om priserna – de varierar förstås beroende på antalet gäster.",,
La Casa,about.stat1n,8,8,8,8,8,8,,
La Casa,about.stat1,Personas,Guests,Gäste,Ospiti,Personnes,Gäster,,
La Casa,about.stat2n,4,4,4,4,4,4,,
La Casa,about.stat2,Dormitorios con baño,En-suite bedrooms,Schlafzimmer mit Bad,Camere con bagno,Chambres avec salle de bain,Sovrum med eget badrum,,
La Casa,about.stat3n,500 m,500 m,500 m,500 m,500 m,500 m,,
La Casa,about.stat3,Hasta el mar,To the sea,Bis zum Meer,Dal mare,De la mer,Till havet,,
La Casa,about.stat4n,6.500,"6,500",6.500,6.500,6 500,6 500,,
La Casa,about.stat4,m² de jardín privado,m² private garden,m² Privatgarten,m² di giardino privato,m² de jardin privé,m² privat trädgård,,
Servicios,amenities.eyebrow,Servicios,Amenities,Ausstattung,Servizi,Équipements,Bekvämligheter,,
Servicios,amenities.title,Todo lo que necesitas para unas vacaciones sin prisa,Everything you need for a slow island holiday,Alles für einen entspannten Inselurlaub,Tutto ciò che serve per una vacanza senza fretta,Tout ce qu'il faut pour des vacances au calme,Allt du behöver för en avkopplande semester,,
Servicios,am.1t,Casa rústica espaciosa,Spacious rustic home,Großzügiges rustikales Haus,Ampia casa rustica,Spacieuse maison rustique,Rymligt rustikt hus,,
Servicios,am.1d,"Una casa tradicional de Formentera en su propio amplio jardín privado, con espacio para hasta ocho personas.",A traditional Formentera house in its own large private garden — with room for up to eight guests.,Ein traditionelles Formentera-Haus in seinem eigenen großen Privatgarten – mit Platz für bis zu acht Gäste.,Una tradizionale casa di Formentera nel suo ampio giardino privato — con spazio fino a otto ospiti.,Une maison traditionnelle de Formentera dans son propre grand jardin privé — avec de la place pour huit personnes.,Ett traditionellt Formentera-hus i sin egen stora privata trädgård – med plats för upp till åtta gäster.,,
Servicios,am.2t,4 dormitorios con baño,4 en-suite bedrooms,4 Schlafzimmer mit Bad,4 camere con bagno,4 chambres avec salle de bain,4 sovrum med eget badrum,,
Servicios,am.2d,"Cuatro dormitorios, cada uno con su propio baño privado.","Four bedrooms, each with its own private bathroom.","Vier Schlafzimmer, jedes mit eigenem Badezimmer.","Quattro camere da letto, ciascuna con il proprio bagno privato.","Quatre chambres, chacune avec sa propre salle de bain privée.","Fyra sovrum, vart och ett med eget privat badrum.",,
Servicios,am.3t,Piscina de 16 × 6 m,16 × 6 m freshwater pool,16 × 6 m Süßwasserpool,Piscina 16 × 6 m,Piscine de 16 × 6 m,16 × 6 m sötvattenpool,,
Servicios,am.3d,"Gran piscina de agua dulce, de hasta 2 m de profundidad, rodeada de tumbonas.","A large freshwater swimming pool, up to 2 m deep, surrounded by sun loungers.","Großer Süßwasserpool, bis zu 2 m tief, umgeben von Sonnenliegen.","Ampia piscina di acqua dolce, profonda fino a 2 m, circondata da lettini.","Grande piscine d'eau douce, jusqu'à 2 m de profondeur, entourée de transats.","Stor sötvattenpool, upp till 2 m djup, omgiven av solstolar.",,
Servicios,am.4t,Cuatro terrazas cubiertas,Four covered terraces,Vier überdachte Terrassen,Quattro terrazze coperte,Quatre terrasses couvertes,Fyra täckta terrasser,,
Servicios,am.4d,"Zonas exteriores a la sombra para comer, relajarse y escapar del sol del mediodía.","Shaded outdoor living areas to dine, relax and escape the midday sun.","Schattige Außenbereiche zum Essen, Entspannen und dem Entfliehen der Mittagssonne.","Spazi esterni ombreggiati per pranzare, rilassarsi e sfuggire al sole di mezzogiorno.","Des espaces extérieurs ombragés pour dîner, se détendre et échapper au soleil de midi.","Skuggade uteplatser för att äta, koppla av och slippa middagssolen.",,
Servicios,am.5t,Cocina totalmente equipada,Fully equipped kitchen,Voll ausgestattete Küche,Cucina completamente attrezzata,Cuisine entièrement équipée,Fullt utrustat kök,,
Servicios,am.5d,Una cocina interior completa y una zona de cocina exterior para las largas noches de verano.,A complete indoor kitchen plus an outdoor cooking area for long summer evenings.,Eine komplette Innenküche und ein Außenkochbereich für lange Sommerabende.,Una cucina interna completa e una zona cottura esterna per le lunghe serate estive.,Une cuisine intérieure complète et un espace cuisine extérieur pour les longues soirées d'été.,Ett komplett innerkök och en utomhusmatlagningsplats för långa sommarkvällar.,,
Servicios,am.6t,Jardín de 6.500 m²,"6,500 m² garden",6.500 m² Garten,Giardino di 6.500 m²,Jardin de 6 500 m²,6 500 m² trädgård,,
Servicios,am.6d,"Un jardín privado cerrado con césped natural, pinos y flores mediterráneas.","An enclosed private garden with natural grass, pines and Mediterranean flowers.","Ein umzäunter Privatgarten mit natürlichem Rasen, Pinien und mediterranen Blumen.","Un giardino privato recintato con prato naturale, pini e fiori mediterranei.","Un jardin privé clos avec pelouse naturelle, pins et fleurs méditerranéennes.","En inhägnad privat trädgård med naturlig gräsmatta, pinjer och medelhavsblommor.",,
Servicios,am.7t,Zona de juegos infantil,Children's playground,Kinderspielplatz,Parco giochi per bambini,Aire de jeux pour enfants,Lekplats för barn,,
Servicios,am.7d,"Una zona de juegos y una amplia pradera, perfectas para familias con niños.",A dedicated playground and open lawn — perfect for families with children.,Ein eigener Spielplatz und eine offene Wiese – perfekt für Familien mit Kindern.,"Un'area giochi dedicata e un ampio prato, perfetti per le famiglie con bambini.","Une aire de jeux dédiée et une grande pelouse, parfaites pour les familles avec enfants.",En egen lekplats och öppen gräsmatta – perfekt för barnfamiljer.,,
Servicios,am.8t,A 500 m del mar,500 m from the sea,500 m vom Meer,A 500 m dal mare,À 500 m de la mer,500 m från havet,,
Servicios,am.8d,"La playa está a solo diez minutos a pie, con aguas cristalinas.","The beach is just a ten-minute walk away, with crystal-clear water.","Der Strand ist nur zehn Gehminuten entfernt, mit kristallklarem Wasser.","La spiaggia è a soli dieci minuti a piedi, con acque cristalline.","La plage est à seulement dix minutes à pied, avec une eau cristalline.","Stranden ligger bara tio minuters promenad bort, med kristallklart vatten.",,
Ubicacion,location.eyebrow,Ubicación,Location,Lage,Posizione,Emplacement,Läge,,
Ubicacion,location.title,"En el corazón de la isla, a un paso del mar","In the heart of the island, steps from the sea","Im Herzen der Insel, nur Schritte vom Meer","Nel cuore dell'isola, a due passi dal mare","Au cœur de l'île, à deux pas de la mer","Mitt på ön, ett stenkast från havet",,
Ubicacion,location.intro,"Casa Trini se encuentra entre el puerto de La Savina y Sant Francesc, la capital de Formentera, lo bastante cerca para ir andando a la playa y a la vez recogida en su entorno tranquilo y verde.","Casa Trini sits between the port of La Savina and Sant Francesc, Formentera's capital — close enough to walk to the beach, yet tucked away in its own quiet, green surroundings.","Casa Trini liegt zwischen dem Hafen von La Savina und Sant Francesc, der Hauptstadt Formenteras – nah genug, um zu Fuß zum Strand zu gehen, und doch ruhig in grüner Umgebung verborgen.","Casa Trini si trova tra il porto di La Savina e Sant Francesc, il capoluogo di Formentera: abbastanza vicina da raggiungere la spiaggia a piedi, ma immersa in un ambiente tranquillo e verde.","Casa Trini se situe entre le port de La Savina et Sant Francesc, la capitale de Formentera : assez près pour aller à la plage à pied, tout en restant nichée dans un cadre calme et verdoyant.","Casa Trini ligger mellan hamnen La Savina och Sant Francesc, Formenteras huvudort – nära nog att promenera till stranden, men ändå avskilt i lugna, gröna omgivningar.",,
Ubicacion,location.mapBtn,Abrir en Google Maps,Open in Google Maps,In Google Maps öffnen,Apri in Google Maps,Ouvrir dans Google Maps,Öppna i Google Maps,,
Ubicacion,loc.1d,500 m,500 m,500 m,500 m,500 m,500 m,,
Ubicacion,loc.1t,al mar — 10 minutos andando,to the sea — a 10-minute walk,zum Meer — 10 Minuten zu Fuß,dal mare — 10 minuti a piedi,de la mer — 10 minutes à pied,till havet — 10 minuters promenad,,
Ubicacion,loc.2d,1 km,1 km,1 km,1 km,1 km,1 km,,
Ubicacion,loc.2t,al centro de Sant Francesc,to Sant Francesc town centre,zum Zentrum von Sant Francesc,dal centro di Sant Francesc,du centre de Sant Francesc,till Sant Francesc centrum,,
Ubicacion,loc.3d,"1,5 km",1.5 km,"1,5 km","1,5 km","1,5 km","1,5 km",,
Ubicacion,loc.3t,al puerto de La Savina,to the port of La Savina,zum Hafen von La Savina,dal porto di La Savina,du port de La Savina,till hamnen i La Savina,,
Ubicacion,loc.4d,★,★,★,★,★,★,,
Ubicacion,loc.4t,Cerca de la playa de Cala Saona,Close to Cala Saona beach,Nahe dem Strand Cala Saona,Vicino alla spiaggia di Cala Saona,Proche de la plage de Cala Saona,Nära stranden Cala Saona,,
Ubicacion,loc.5d,★,★,★,★,★,★,,
Ubicacion,loc.5t,Junto a las famosas Ses Illetes,Near the famous Ses Illetes,In der Nähe des berühmten Ses Illetes,Vicino alle famose Ses Illetes,Près des célèbres Ses Illetes,Nära berömda Ses Illetes,,
Galeria,gallery.eyebrow,Fotos,Gallery,Galerie,Foto,Photos,Bilder,,
Galeria,gallery.title,Un paseo por la casa,A look around the house,Ein Rundgang durch das Haus,Uno sguardo alla casa,Un aperçu de la maison,En titt runt huset,,
Galeria,gallery.sub,Haz clic en cualquier foto para verla a tamaño completo.,Click any photo to view it full size.,"Klicken Sie auf ein Foto, um es in voller Größe zu sehen.",Clicca su una foto per vederla a grandezza naturale.,Cliquez sur une photo pour la voir en grand.,Klicka på en bild för att se den i full storlek.,,
Resenas,reviews.eyebrow,Opiniones,Guest Reviews,Gästebewertungen,Recensioni degli ospiti,Avis des clients,Gästomdömen,,
Resenas,reviews.title,Nuestros huéspedes nos adoran,Loved by our guests,Von unseren Gästen geliebt,Amato dai nostri ospiti,Adoré par nos hôtes,Älskat av våra gäster,,
Resenas,reviews.on,Valoración en Google,Rated on Google,Bewertung auf Google,Valutazione su Google,Note sur Google,Betyg på Google,,
Resenas,reviews.count,reseñas en Google,Google reviews,Google-Bewertungen,recensioni su Google,avis Google,Google-omdömen,,
Resenas,reviews.read,Ver reseñas en Google,Read reviews on Google,Bewertungen auf Google lesen,Leggi le recensioni su Google,Lire les avis sur Google,Läs omdömen på Google,,
Resenas,reviews.write,Escribir una reseña,Leave a review,Bewertung schreiben,Scrivi una recensione,Laisser un avis,Skriv ett omdöme,,
Contacto,contact.eyebrow,Contacto y Reservas,Contact & Booking,Kontakt & Buchung,Contatti e Prenotazioni,Contact & Réservation,Kontakt & Bokning,,
Contacto,contact.title,¿Listo para vivir Formentera?,Ready to live Formentera?,"Bereit, Formentera zu erleben?",Pronto a vivere Formentera?,Prêt à vivre Formentera ?,Redo att uppleva Formentera?,,
Contacto,contact.intro,Envíanos tus fechas y te responderemos lo antes posible.,Send us your dates and we'll get back to you as soon as possible.,Senden Sie uns Ihre Daten und wir melden uns so schnell wie möglich.,Inviaci le tue date e ti risponderemo il prima possibile.,Envoyez-nous vos dates et nous vous répondrons dès que possible.,Skicka dina datum så återkommer vi så snart vi kan.,,
Contacto,contact.reach,Contáctanos directamente,Reach us directly,Direkt erreichen,Contattaci direttamente,Contactez-nous directement,Kontakta oss direkt,,
Contacto,contact.reviews,Lee nuestras reseñas de Google,Read our Google reviews,Unsere Google-Bewertungen lesen,Leggi le nostre recensioni Google,Lire nos avis Google,Läs våra Google-omdömen,,
Contacto,contact.book,Reserva en Airbnb,Book on Airbnb,Auf Airbnb buchen,Prenota su Airbnb,Réserver sur Airbnb,Boka på Airbnb,,
Contacto,contact.airbnbSub,Reserva segura con reseñas verificadas,Secure booking with verified guest reviews,Sichere Buchung mit verifizierten Bewertungen,Prenotazione sicura con recensioni verificate,Réservation sécurisée avec avis vérifiés,Trygg bokning med verifierade omdömen,,
Contacto,contact.airbnb,Ver nuestro anuncio en Airbnb,View our Airbnb listing,Unser Airbnb-Inserat ansehen,Vedi il nostro annuncio Airbnb,Voir notre annonce Airbnb,Se vår Airbnb-annons,,
Contacto,contact.onlyAirbnb,Solo estamos en Airbnb: no nos encontrarás en Booking.com.,We're listed on Airbnb only — you won't find us on Booking.com.,Wir sind ausschließlich auf Airbnb gelistet – nicht auf Booking.com.,Siamo solo su Airbnb — non ci trovi su Booking.com.,Nous sommes uniquement sur Airbnb — pas sur Booking.com.,Vi finns endast på Airbnb — inte på Booking.com.,,
Formulario,form.name,Nombre,Name,Name,Nome,Nom,Namn,,
Formulario,form.email,Correo electrónico,Email,E-Mail,Email,E-mail,E-post,,
Formulario,form.checkin,Entrada,Check-in,Anreise,Check-in,Arrivée,Incheckning,,
Formulario,form.checkout,Salida,Check-out,Abreise,Check-out,Départ,Utcheckning,,
Formulario,form.guests,Personas,Guests,Gäste,Ospiti,Personnes,Gäster,,
Formulario,form.message,Mensaje,Message,Nachricht,Messaggio,Message,Meddelande,,
Formulario,form.send,Enviar consulta,Send inquiry,Anfrage senden,Invia richiesta,Envoyer la demande,Skicka förfrågan,,
Formulario,form.sending,Enviando…,Sending…,Wird gesendet…,Invio in corso…,Envoi…,Skickar…,,
Formulario,form.ok,¡Gracias! Tu consulta ha sido enviada.,Thank you! Your inquiry has been sent.,Vielen Dank! Ihre Anfrage wurde gesendet.,Grazie! La tua richiesta è stata inviata.,Merci ! Votre demande a été envoyée.,Tack! Din förfrågan har skickats.,,
Formulario,form.err,Algo salió mal. Escríbenos por correo o WhatsApp.,Something went wrong. Please email or WhatsApp us instead.,Etwas ist schiefgelaufen. Bitte schreiben Sie uns per E-Mail oder WhatsApp.,Qualcosa è andato storto. Scrivici via email o WhatsApp.,Une erreur s'est produite. Contactez-nous par e-mail ou WhatsApp.,Något gick fel. Mejla eller skriv till oss på WhatsApp istället.,,
Formulario,form.required,"Por favor, introduce tu nombre y un correo válido.",Please fill in your name and a valid email.,Bitte geben Sie Ihren Namen und eine gültige E-Mail an.,Inserisci il tuo nome e un'email valida.,Veuillez indiquer votre nom et un e-mail valide.,Ange ditt namn och en giltig e-postadress.,,
Formulario,form.who,¿Quién viene?,Who's coming?,Wer kommt mit?,Chi viene?,Qui vient ?,Vilka kommer?,,
Formulario,form.adults,Adultos,Adults,Erwachsene,Adulti,Adultes,Vuxna,,
Formulario,form.adultsSub,18+ años,Age 18+,Ab 18 Jahren,18+ anni,18 ans et +,18+ år,,
Formulario,form.children,Niños,Children,Kinder,Bambini,Enfants,Barn,,
Formulario,form.childrenSub,0–17 años,Age 0–17,0–17 Jahre,0–17 anni,0–17 ans,0–17 år,,
Formulario,form.presetCouple,Pareja,Couple,Paar,Coppia,Couple,Par,,
Formulario,form.presetFamily,Familia,Family,Familie,Famiglia,Famille,Familj,,
Formulario,form.presetFriends,Amigos,Friends,Freunde,Amici,Amis,Vänner,,
Formulario,form.sleeps,Capacidad para 8 personas.,Sleeps up to 8 guests.,Platz für bis zu 8 Gäste.,Ospita fino a 8 persone.,Jusqu'à 8 personnes.,Plats för upp till 8 gäster.,,
Formulario,form.full,Máximo de 8 personas.,That's our maximum of 8 guests.,Maximal 8 Gäste.,Massimo 8 persone.,Maximum 8 personnes.,Max 8 gäster.,,
Formulario,form.child,Niño,Child,Kind,Bambino,Enfant,Barn,,
Formulario,form.agePlaceholder,Edad,Age,Alter,Età,Âge,Ålder,,
Formulario,form.under1,Menos de 1,Under 1,Unter 1,Meno di 1,Moins d'un an,Under 1,,
Formulario,form.night,noche,night,Nacht,notte,nuit,natt,,
Formulario,form.nights,noches,nights,Nächte,notti,nuits,nätter,,
Blog: formentera-markets,formentera-markets — Titulo,Mercados de Formentera: guía de los mejores puestos artesanos,Formentera Markets: A Guide to the Island's Best Artisan Stalls,Märkte auf Formentera: Guide zu den schönsten Kunsthandwerksständen,Mercati di Formentera: guida ai migliori banchi artigianali,Marchés de Formentera : guide des plus beaux stands artisanaux,Formenteras marknader: guide till öns bästa hantverksstånd,,
Blog: formentera-markets,formentera-markets — Descripcion (SEO),"Descubre los mercados de Formentera: el icónico mercadillo hippy de La Mola, la artesanía de Sant Francesc y los puestos nocturnos de Es Pujols.","Discover Formentera's markets, from the iconic La Mola hippy market to Sant Francesc crafts and Es Pujols evening stalls. Ceramics, jewellery and more.",Entdecke die Märkte Formenteras: vom legendären Hippiemarkt La Mola über Kunsthandwerk in Sant Francesc bis zu den Abendständen in Es Pujols.,Scopri i mercati di Formentera: dall'iconico mercatino hippy di La Mola all'artigianato di Sant Francesc fino ai banchi serali di Es Pujols.,"Découvrez les marchés de Formentera : le marché hippie mythique de La Mola, l'artisanat de Sant Francesc et les stands du soir d'Es Pujols.","Upptäck Formenteras marknader: den ikoniska hippiemarknaden i La Mola, hantverket i Sant Francesc och kvällsstånden i Es Pujols. Keramik, smycken och mer.",,
Blog: formentera-season,formentera-season — Titulo,¿Cuánto dura la temporada en Formentera? De mayo a octubre,How Long Is the Season in Formentera? May to October,Wie lang ist die Saison auf Formentera? Von Mai bis Oktober,Quanto dura la stagione a Formentera? Da maggio a ottobre,Combien de temps dure la saison à Formentera ? De mai à octobre,Hur lång är säsongen på Formentera? Maj till oktober,,
Blog: formentera-season,formentera-season — Descripcion (SEO),La temporada de playa en Formentera va de mayo a octubre — y en octubre el mar sigue templado para bañarse. Guía mes a mes de la mejor época para visitarla.,Formentera's beach season runs from May to October — and in October the sea is still warm enough to swim. A month-by-month guide to the best time to visit.,Die Strandsaison auf Formentera dauert von Mai bis Oktober — und im Oktober ist das Meer noch warm genug zum Baden. Ein Monat-für-Monat-Leitfaden zur besten Reisezeit.,La stagione balneare di Formentera va da maggio a ottobre — e a ottobre il mare è ancora caldo per fare il bagno. Una guida mese per mese sul periodo migliore per visitarla.,La saison balnéaire de Formentera va de mai à octobre — et en octobre la mer est encore assez chaude pour se baigner. Un guide mois par mois de la meilleure période.,Formenteras badsäsong varar från maj till oktober — och i oktober är havet fortfarande varmt nog att bada i. En guide månad för månad till bästa restiden.,,
Blog: formentera-sunset,formentera-sunset — Titulo,Dónde ver la puesta de sol en Formentera: los 5 mejores lugares,Where to Watch the Sunset in Formentera: 5 Best Spots,Sonnenuntergang in Formentera: die 5 schönsten Orte,Dove vedere il tramonto a Formentera: i 5 posti migliori,Où voir le coucher de soleil à Formentera : les 5 meilleurs endroits,Var man ser solnedgången på Formentera: de 5 bästa platserna,,
Blog: formentera-sunset,formentera-sunset — Descripcion (SEO),"Los mejores lugares para ver la puesta de sol en Formentera — de Cala Saona al faro de Cap de Barbaria — con enlaces al mapa, horarios y cómo llegar desde Casa Trini.","The best places to watch the sunset in Formentera — from Cala Saona to the Cap de Barbaria lighthouse — with map links, the best times and how to reach each from Casa Trini.","Die besten Orte für den Sonnenuntergang in Formentera — von Cala Saona bis zum Leuchtturm Cap de Barbaria — mit Karten-Links, den besten Zeiten und Anfahrt von der Casa Trini.","I posti migliori per vedere il tramonto a Formentera — da Cala Saona al faro di Cap de Barbaria — con link alle mappe, orari e come arrivarci da Casa Trini.","Les meilleurs endroits pour voir le coucher de soleil à Formentera — de Cala Saona au phare de Cap de Barbaria — avec liens vers les cartes, horaires et accès depuis Casa Trini.","De bästa platserna för solnedgång på Formentera — från Cala Saona till fyren Cap de Barbaria — med kartlänkar, bästa tider och hur du tar dig dit från Casa Trini.",,
Blog: formentera-traditional-food,formentera-traditional-food — Titulo,"Comida tradicional de Formentera: raó, peix sec y clásicos isleños","Traditional Food of Formentera: Raó, Peix Sec and Island Classics","Traditionelle Küche Formenteras: Raó, Peix Sec und Inselklassiker","Cucina tradizionale di Formentera: raó, peix sec e classici isolani","Cuisine traditionnelle de Formentera : raó, peix sec et classiques de l'île","Traditionell mat på Formentera: raó, peix sec och öns klassiker",,
Blog: formentera-traditional-food,formentera-traditional-food — Descripcion (SEO),"Guía de la comida tradicional de Formentera y cuándo probarla: el raó de otoño, el peix sec, el bullit de peix, el flaó y las hierbas ibicencas.","A guide to the traditional food of Formentera and when to eat it: autumn raó (razorfish), peix sec, bullit de peix, flaó and local hierbas liqueur.","Ein Führer zur traditionellen Küche Formenteras und wann man sie genießt: Raó im Herbst, Peix Sec, Bullit de Peix, Flaó und die Kräuterliköre der Insel.","Guida alla cucina tradizionale di Formentera e a quando gustarla: il raó d'autunno, il peix sec, il bullit de peix, il flaó e i liquori alle erbe.","Guide de la cuisine traditionnelle de Formentera et du bon moment pour la goûter : le raó d'automne, le peix sec, le bullit de peix, le flaó et les hierbas.","En guide till Formenteras traditionella mat och när den smakar bäst: höstens raó, peix sec, bullit de peix, flaó och de lokala örtlikörerna hierbas.",,
Blog: formentera-traditions,formentera-traditions — Titulo,Tradiciones y cultura de Formentera: guia de la vida isleña,Formentera Traditions & Culture: A Guide to Island Life,Traditionen & Kultur Formenteras: ein Leitfaden zum Inselleben,Tradizioni e cultura di Formentera: guida alla vita isolana,Traditions et culture de Formentera : guide de la vie insulaire,Formenteras traditioner och kultur: en guide till ölivet,,
Blog: formentera-traditions,formentera-traditions — Descripcion (SEO),"Descubre las tradiciones y la cultura de Formentera: fincas encaladas, sabinares, las salinas de Ses Salines, las fiestas y el ball pagès.","Discover Formentera's traditions and culture: whitewashed fincas, sabina woods, the Ses Salines salt harvest, village fiestas and the ball pagès dance.","Entdecke Formenteras Traditionen und Kultur: weiße Fincas, Sabina-Wälder, die Salinen von Ses Salines, Dorffeste und den Tanz ball pagès.","Scopri le tradizioni e la cultura di Formentera: fincas imbiancate, boschi di sabina, le saline di Ses Salines, le feste e il ball pagès.","Découvrez les traditions et la culture de Formentera : fincas blanchies, forêts de sabina, les salines de Ses Salines, les fêtes et le ball pagès.","Upptäck Formenteras traditioner och kultur: vitkalkade fincas, sabinaskogar, saltverket Ses Salines, byfester och dansen ball pagès.",,
Blog: getting-to-formentera,getting-to-formentera — Titulo,"Cómo llegar a Formentera: vuelos, ferris y transporte","How to Get to Formentera: Flights, Ferries & Getting Around","Anreise nach Formentera: Flüge, Fähren & Fortbewegung","Come arrivare a Formentera: voli, traghetti e spostamenti","Comment aller à Formentera : vols, ferries et déplacements","Ta sig till Formentera: flyg, färjor och transporter",,
